ExterQual,BsmtQual,BsmtExposure,KitchenQual,GarageFinish,Neighborhood,HouseStyle,Foundation,GarageType,OverallQual,YearBuilt,MasVnrArea,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageArea,TotalSF,TotalBath,SalePrice
Gd,Ex,No,Gd,RFn,NridgHt,1Story,PConc,Attchd,8,2007,200.0,1704,7,1,772,3408,3.0,306000
TA,TA,Gd,TA,RFn,NAmes,1Story,CBlock,Attchd,5,1957,0.0,1600,6,2,319,3084,2.0,207500
TA,TA,No,Fa,Unf,BrkSide,1Story,BrkTil,Detchd,4,1927,0.0,520,4,0,240,1040,1.0,68500
TA,TA,No,TA,Unf,IDOTRR,2Story,BrkTil,Detchd,4,1920,0.0,1317,6,0,250,1966,1.0,40000
TA,TA,No,Gd,Unf,Sawyer,1Story,CBlock,Attchd,5,1966,0.0,1228,6,0,271,2456,1.5,149350
Gd,Ex,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,8,2007,0.0,1234,7,0,484,2468,2.0,179900
TA,TA,No,Gd,RFn,NAmes,1Story,CBlock,Attchd,5,1959,0.0,1700,6,1,447,3098,2.0,165500
Ex,Ex,No,Ex,Fin,NridgHt,1Story,PConc,Attchd,9,2005,246.0,1561,6,1,556,3122,3.0,277500
Gd,Ex,Av,Gd,Fin,NridgHt,2Story,PConc,BuiltIn,8,2004,132.0,2452,9,1,691,3569,3.5,309000
TA,Gd,No,TA,Unf,CollgCr,1Story,PConc,Attchd,5,1994,0.0,1097,6,0,672,2194,1.5,145000
TA,TA,No,TA,Fin,NAmes,1Story,CBlock,Attchd,5,1954,650.0,1297,5,1,498,2594,1.5,153000
TA,TA,No,Gd,Unf,NAmes,1Story,CBlock,Detchd,5,1953,0.0,1057,5,0,246,2114,2.0,109000
TA,NoBas,NoBas,Fa,NoGar,Edwards,1Story,PConc,NoGar,4,1955,0.0,1152,6,0,0,1152,2.0,82000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1965,101.0,1324,6,1,440,2412,2.0,160000
TA,TA,Gd,TA,RFn,Timber,1Story,CBlock,Attchd,5,1959,0.0,1328,5,2,308,2678,2.0,170000
TA,Gd,Av,Gd,RFn,SawyerW,SFoyer,CBlock,Attchd,5,1983,0.0,884,5,0,504,1724,2.0,144000
TA,Gd,Av,TA,Unf,CollgCr,1Story,CBlock,Detchd,5,1975,0.0,938,5,0,308,1876,2.0,130250
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,5,1959,0.0,1150,6,0,300,2300,2.0,141000
Ex,Ex,No,Ex,RFn,NridgHt,1Story,PConc,Attchd,9,2005,412.0,1752,6,1,576,3504,3.0,319900
Gd,Ex,No,Gd,RFn,Mitchel,1.5Fin,PConc,Attchd,7,2003,0.0,2149,6,1,670,3583,2.5,239686
Gd,Gd,Av,Gd,RFn,Somerst,1Story,PConc,Attchd,8,2006,0.0,1656,7,0,826,3312,2.0,249700
TA,TA,No,TA,NoGar,OldTown,2Story,BrkTil,NoGar,4,1920,0.0,1452,8,0,0,2188,2.0,113000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Attchd,5,1966,0.0,955,6,0,386,1910,2.0,127000
TA,Gd,Av,TA,Fin,Gilbert,2Story,PConc,Attchd,6,1997,0.0,1470,6,0,388,2264,2.5,177000
TA,TA,No,TA,Unf,BrkSide,1.5Fin,PConc,Detchd,6,1934,0.0,1176,6,1,528,1632,1.0,114500
Fa,Gd,Gd,TA,Unf,IDOTRR,1Story,CBlock,CarPort,5,1963,0.0,816,5,0,516,1632,2.0,110000
Gd,Ex,Gd,Gd,Fin,Veenker,1Story,CBlock,Attchd,9,1981,0.0,1842,5,1,894,3684,2.5,385000
TA,TA,No,TA,Unf,NAmes,SLvl,CBlock,Detchd,5,1955,0.0,1360,6,1,572,1744,1.0,130000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1964,272.0,1425,7,1,576,2850,2.0,180500
Gd,Gd,No,Gd,Fin,Somerst,2Story,PConc,Attchd,8,1999,456.0,1739,7,0,480,2709,3.5,172500
Gd,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,2004,0.0,1720,7,0,565,2580,2.5,196500
Ex,Ex,Gd,Gd,Fin,StoneBr,2Story,PConc,BuiltIn,10,2006,1031.0,2945,10,1,641,4355,3.5,438780
TA,TA,Av,TA,Unf,CollgCr,1Story,CBlock,Detchd,5,1972,0.0,780,4,0,352,1560,1.0,124900
TA,Gd,No,Gd,Unf,SawyerW,1Story,PConc,Detchd,6,2004,0.0,1158,5,0,576,2316,2.5,158000
TA,TA,No,Fa,Unf,IDOTRR,2.5Unf,BrkTil,Detchd,5,1920,0.0,1111,6,0,288,1641,1.0,101000
Gd,Gd,Mn,Gd,RFn,NridgHt,1Story,PConc,Attchd,8,2006,178.0,1370,6,1,484,2740,2.0,202500
TA,TA,No,TA,Unf,OldTown,2Story,BrkTil,Detchd,7,1921,0.0,1710,9,0,480,2286,2.0,140000
TA,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,1997,573.0,2034,8,0,645,3091,3.5,219500
Gd,Ex,Av,Gd,RFn,NridgHt,2Story,PConc,BuiltIn,8,2004,344.0,2473,9,1,852,3616,2.5,317000
TA,Gd,Gd,TA,RFn,NAmes,1Story,CBlock,Attchd,7,1970,287.0,2207,7,1,576,4154,3.0,180000
Gd,Gd,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2003,167.0,1479,7,0,558,2932,3.0,226000
TA,TA,No,TA,Unf,OldTown,1Story,CBlock,Attchd,4,1945,0.0,747,4,0,220,1494,1.0,80000
Gd,TA,No,TA,Fin,ClearCr,1.5Fin,CBlock,Attchd,7,1953,0.0,2287,7,1,667,3591,2.0,225000
TA,Gd,Gd,TA,Fin,NAmes,1Story,CBlock,Attchd,7,1973,1115.0,2223,8,2,516,4446,3.0,244000
TA,TA,No,TA,Unf,Mitchel,1Story,CBlock,Detchd,4,1982,0.0,845,4,0,360,1690,2.0,129500
TA,Gd,No,TA,Fin,Gilbert,2Story,PConc,Attchd,7,1998,40.0,1718,7,1,427,2550,2.5,185000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,5,1954,104.0,1086,6,0,490,2172,2.0,144900
Gd,Fa,No,TA,Unf,OldTown,2Story,CBlock,Detchd,3,1915,0.0,1605,8,0,379,2445,2.0,107400
TA,Gd,Gd,TA,Unf,MeadowV,SLvl,CBlock,BuiltIn,4,1973,0.0,988,5,0,297,1450,2.0,91000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Detchd,4,1956,0.0,952,4,0,283,1904,1.0,135750
TA,TA,No,TA,Unf,BrkSide,1.5Fin,CBlock,Detchd,5,1948,0.0,1285,6,0,240,1957,2.0,127000
TA,TA,No,TA,NoGar,Sawyer,1Story,CBlock,NoGar,4,1968,0.0,1768,8,0,0,3536,2.0,136500
TA,TA,No,TA,Unf,OldTown,2Story,PConc,Detchd,5,1910,0.0,1230,5,0,440,1670,1.5,110000
TA,Gd,No,Gd,Fin,NAmes,2Story,CBlock,Attchd,6,1968,576.0,2142,8,1,509,3038,2.5,193500
TA,Ex,No,TA,Fin,Mitchel,1Story,PConc,Attchd,6,1998,443.0,1337,5,0,405,2574,3.0,153500
TA,Gd,No,Gd,RFn,Somerst,1Story,PConc,Attchd,8,2007,468.0,1563,6,1,758,3126,2.0,245000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Detchd,5,1960,66.0,1065,6,0,461,2130,1.5,126500
TA,Gd,No,TA,Fin,Gilbert,SLvl,PConc,BuiltIn,7,1995,22.0,1474,7,1,400,1858,2.5,168500
Gd,Gd,No,Gd,Unf,NoRidge,2Story,CBlock,Attchd,8,1991,284.0,2417,9,1,462,3705,2.5,260000
Gd,Gd,Av,Gd,Fin,Gilbert,2Story,PConc,BuiltIn,6,2005,0.0,1560,6,1,400,2244,2.5,174000
Gd,Gd,Av,Gd,RFn,Somerst,2Story,PConc,Detchd,6,2009,76.0,1224,4,0,528,1836,2.5,164500
Fa,TA,No,Fa,NoGar,IDOTRR,1.5Fin,CBlock,NoGar,3,1915,0.0,1526,6,0,0,2026,1.0,85000
TA,Gd,No,TA,NoGar,CollgCr,1Story,PConc,NoGar,4,1994,0.0,990,5,0,0,1980,2.0,123600
TA,NoBas,NoBas,TA,Unf,NAmes,1Story,Slab,Detchd,4,1950,0.0,1040,4,0,420,1040,1.0,109900
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,5,1961,203.0,1235,6,0,480,2470,1.0,98600
TA,Gd,No,TA,Unf,Crawfor,1Story,BrkTil,Detchd,5,1921,0.0,964,5,0,432,1840,2.0,163500
TA,TA,Mn,TA,Unf,OldTown,2.5Unf,BrkTil,Detchd,6,1910,0.0,2291,9,1,506,3505,2.5,133900
TA,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,6,1997,0.0,1786,7,0,684,2610,3.5,204750
Ex,Gd,No,TA,Fin,Gilbert,2Story,PConc,BuiltIn,6,1993,68.0,1470,6,1,420,2150,2.5,185000
Gd,Gd,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,1999,183.0,1588,6,0,472,3176,2.0,214000
TA,TA,No,TA,Fin,Edwards,1Story,CBlock,Attchd,4,1965,48.0,960,6,0,432,1920,2.0,94750
TA,TA,No,TA,Unf,Edwards,1Story,BrkTil,Basment,5,1920,0.0,835,5,0,366,1293,1.0,83000
TA,TA,No,TA,NoGar,NAmes,1Story,CBlock,NoGar,4,1959,0.0,1225,6,0,0,2175,2.5,128950
TA,TA,Mn,Gd,RFn,NWAmes,1Story,PConc,Attchd,6,1977,28.0,1610,6,2,480,3220,3.0,205000
Gd,Gd,No,Gd,Fin,SawyerW,2Story,CBlock,Attchd,6,1985,336.0,1732,7,1,476,2473,2.5,178000
TA,NoBas,NoBas,TA,Unf,SawyerW,1Story,Slab,Attchd,5,1979,0.0,1535,8,0,410,1535,2.0,118964
TA,Gd,No,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2009,0.0,1226,6,0,740,2452,2.0,198900
TA,TA,No,TA,Unf,IDOTRR,1.5Fin,PConc,Detchd,7,1931,600.0,1818,7,2,240,2858,1.5,169500
Gd,Ex,No,Gd,RFn,Somerst,2Story,PConc,Attchd,8,2003,768.0,1992,9,1,648,3045,2.5,250000
TA,Fa,No,TA,Unf,OldTown,1Story,BrkTil,Detchd,4,1885,0.0,1047,6,0,273,1688,1.0,100000
TA,TA,No,TA,Unf,OldTown,1Story,CBlock,Detchd,5,1948,0.0,789,5,0,250,1578,1.0,115000
TA,TA,No,Fa,NoGar,IDOTRR,1.5Fin,CBlock,NoGar,5,1919,0.0,1517,7,0,0,2310,2.0,115000
TA,Gd,No,TA,RFn,NWAmes,1Story,CBlock,Attchd,6,1977,480.0,1844,7,1,546,3688,2.0,190000
TA,TA,No,TA,Unf,Edwards,1.5Fin,CBlock,Attchd,6,1954,0.0,1855,7,0,325,2849,2.0,136900
TA,Gd,No,TA,Fin,Gilbert,SLvl,PConc,BuiltIn,7,2000,0.0,1430,7,1,400,1814,2.5,180000
Gd,Ex,Av,Ex,Fin,CollgCr,2Story,PConc,BuiltIn,7,2007,220.0,2696,10,1,792,3960,3.5,383970
TA,Gd,Mn,Gd,Unf,Crawfor,1Story,CBlock,Basment,6,1953,184.0,2259,7,2,450,4068,3.0,217000
TA,TA,No,Gd,Unf,Crawfor,2Story,CBlock,Detchd,6,1945,0.0,2320,9,1,180,3348,3.5,259500
TA,Gd,No,TA,Unf,Somerst,2Story,PConc,Detchd,6,1999,1129.0,1458,5,1,440,2187,2.5,176000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Attchd,5,1962,116.0,1092,6,1,288,2184,1.5,139000
TA,Gd,No,TA,Unf,Edwards,1Story,PConc,Attchd,5,2006,0.0,1125,5,0,430,2250,1.5,155000
TA,Gd,Mn,Gd,Unf,SawyerW,2Story,PConc,Attchd,7,1990,0.0,3222,11,2,594,4895,4.0,320000
Gd,Gd,No,Gd,Fin,CollgCr,2Story,PConc,Attchd,6,2005,0.0,1456,8,1,390,2184,2.5,163990
TA,TA,Gd,TA,Unf,ClearCr,SLvl,CBlock,Attchd,6,1969,0.0,988,4,2,540,1926,2.0,180000
TA,TA,No,TA,Unf,IDOTRR,1.5Fin,PConc,Detchd,4,1939,0.0,1123,4,0,264,1855,1.0,100000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,6,1958,135.0,1080,5,0,288,2160,1.0,136000
Gd,Gd,No,Gd,RFn,SawyerW,1Story,PConc,Attchd,6,1993,0.0,1199,5,0,530,2398,2.0,153900
TA,Gd,No,TA,Unf,NWAmes,1Story,CBlock,Attchd,6,1979,0.0,1586,7,1,435,2948,2.0,181000
TA,TA,Av,TA,NoGar,IDOTRR,1.5Fin,CBlock,NoGar,6,1935,0.0,754,5,0,0,1040,2.0,84500
TA,Gd,No,TA,RFn,NPkVill,1Story,CBlock,Attchd,6,1976,0.0,958,5,1,440,2036,2.0,128000
TA,TA,No,TA,NoGar,OldTown,1.5Unf,BrkTil,NoGar,5,1930,0.0,840,5,1,0,1512,1.0,87000
TA,TA,No,TA,RFn,NAmes,2Story,CBlock,Attchd,6,1966,266.0,1348,6,1,453,2008,1.5,155000
TA,TA,No,Ex,RFn,NAmes,1Story,CBlock,2Types,5,1958,85.0,1053,6,0,750,2061,2.0,150000
TA,TA,No,Gd,Fin,NAmes,2Story,CBlock,Attchd,7,1966,309.0,2157,8,2,487,3081,2.5,226000
Gd,Gd,No,Gd,RFn,Gilbert,2Story,PConc,BuiltIn,6,2000,40.0,2054,7,1,390,3046,3.5,244000
TA,TA,No,Gd,Unf,NAmes,1Story,CBlock,Detchd,5,1959,0.0,1327,7,0,624,2390,2.0,150750
Gd,Ex,No,Gd,Fin,Timber,1Story,PConc,Attchd,8,2001,136.0,1296,6,0,471,2563,3.0,220000
TA,TA,No,TA,RFn,Sawyer,1Story,CBlock,Attchd,5,1968,0.0,1721,7,1,440,3182,2.5,180000
TA,TA,No,TA,Unf,NWAmes,1Story,PConc,Attchd,7,1970,288.0,1682,7,1,530,2986,2.0,174000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,5,1967,196.0,1214,5,1,318,2428,2.0,143000
TA,TA,No,TA,Unf,Mitchel,1Story,CBlock,2Types,7,1988,70.0,1959,9,0,766,3866,3.0,171000
Gd,Gd,Mn,Gd,Fin,CollgCr,2Story,PConc,Attchd,8,1999,320.0,1852,7,2,660,2856,2.5,230000
TA,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,6,1997,0.0,1764,7,0,470,2692,3.5,231500
TA,TA,No,TA,NoGar,NAmes,1Story,CBlock,NoGar,4,1971,0.0,864,5,1,0,1728,1.0,115000
Gd,Gd,Av,Gd,Fin,CollgCr,1Story,PConc,Attchd,7,2005,0.0,1734,7,0,660,3468,3.0,260000
TA,TA,No,TA,Unf,NAmes,1.5Fin,CBlock,Detchd,5,1952,0.0,1385,6,0,720,2295,2.0,166000
Gd,Gd,Gd,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,1999,183.0,1501,6,0,577,2991,3.0,204000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Detchd,5,1963,336.0,1728,10,0,504,3456,3.0,125000
Gd,Gd,No,Gd,Unf,Edwards,2Story,PConc,Detchd,6,2004,50.0,1709,7,0,380,2679,2.0,130000
TA,TA,No,TA,Unf,BrkSide,1Story,BrkTil,Detchd,5,1931,0.0,875,5,0,180,1590,2.0,105000
Gd,Gd,No,Gd,Fin,Gilbert,2Story,PConc,BuiltIn,7,2001,180.0,2035,8,1,434,2919,2.5,222500
TA,Gd,No,Gd,NoGar,SawyerW,1Story,PConc,NoGar,7,2004,120.0,1080,6,0,0,2160,2.0,141000
TA,Gd,No,TA,Unf,BrkSide,1.5Fin,BrkTil,Detchd,5,1936,0.0,1344,7,0,240,2240,1.0,115000
TA,TA,Av,TA,Unf,CollgCr,1Story,CBlock,Attchd,5,1975,0.0,969,5,0,440,1938,1.5,122000
Gd,Ex,Gd,Gd,RFn,NridgHt,1Story,PConc,Attchd,8,2007,436.0,1710,6,1,866,3420,3.0,372402
TA,TA,No,TA,RFn,NWAmes,2Story,CBlock,Attchd,6,1971,252.0,1993,8,1,495,2818,2.5,190000
TA,Gd,Gd,TA,RFn,ClearCr,1Story,CBlock,Attchd,6,1960,0.0,1252,4,1,564,2854,2.0,235000
TA,TA,No,TA,Unf,OldTown,1Story,BrkTil,Detchd,6,1923,0.0,1200,7,0,312,2400,1.0,125000
TA,TA,No,TA,NoGar,Edwards,1.5Fin,BrkTil,NoGar,6,1924,0.0,1096,5,0,0,1668,1.0,79000
TA,NoBas,NoBas,TA,Unf,NAmes,1Story,CBlock,Detchd,5,1950,0.0,1040,5,0,625,1040,1.0,109500
Gd,Ex,No,Ex,Fin,Timber,2Story,PConc,BuiltIn,8,2009,84.0,1968,8,1,680,2742,2.5,269500
Gd,Gd,No,Gd,RFn,Somerst,2Story,PConc,Attchd,7,2004,0.0,1947,8,1,678,2938,2.5,254900
Gd,Gd,Mn,Gd,RFn,Gilbert,2Story,PConc,Attchd,7,2005,456.0,2462,9,1,576,3854,3.5,320000
TA,Gd,No,TA,Unf,Veenker,1Story,PConc,Attchd,6,1984,0.0,1232,6,0,516,2464,2.0,162500
Gd,Ex,Av,Ex,Fin,NridgHt,2Story,PConc,BuiltIn,9,2003,664.0,2668,10,2,726,4240,3.5,412500
Gd,Gd,Mn,Gd,RFn,NridgHt,1Story,PConc,Attchd,7,2005,226.0,1541,7,1,532,3082,2.0,220000
TA,TA,No,TA,NoGar,OldTown,1.5Unf,CBlock,NoGar,4,1956,0.0,882,4,0,0,1764,1.0,103200
TA,TA,Mn,Gd,Unf,OldTown,1Story,BrkTil,Detchd,6,1926,0.0,1616,5,0,216,2765,2.0,152000
TA,TA,No,TA,NoGar,Edwards,1.5Fin,BrkTil,NoGar,5,1940,0.0,1355,6,0,0,1999,3.0,127500
Gd,TA,No,TA,Fin,ClearCr,1Story,CBlock,Attchd,5,1955,0.0,1867,7,3,303,3484,2.0,190000
Gd,Ex,No,Ex,Fin,NridgHt,2Story,PConc,Attchd,8,2007,300.0,2161,8,1,789,3743,2.5,325624
Gd,Gd,No,Gd,Fin,Gilbert,2Story,PConc,Attchd,7,2004,0.0,1720,7,1,440,2560,2.5,183500
Gd,Gd,No,TA,RFn,Timber,1Story,CBlock,Attchd,8,1981,653.0,1707,6,1,511,3393,2.5,228000
TA,TA,No,TA,Unf,OldTown,1.5Fin,CBlock,Detchd,5,1941,0.0,1382,7,0,660,1574,1.5,128500
TA,TA,Gd,TA,Fin,NAmes,1Story,CBlock,Attchd,6,1960,112.0,1656,7,2,528,2736,2.0,215000
Gd,Gd,No,Gd,RFn,StoneBr,2Story,PConc,Attchd,7,1987,0.0,1767,5,1,504,2831,3.0,239000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,6,1961,491.0,1362,6,1,504,2724,2.5,163000
TA,Gd,No,TA,Fin,Timber,1Story,CBlock,Attchd,6,1986,132.0,1651,7,1,616,3257,3.0,184000
TA,TA,Av,Gd,Unf,Edwards,1Story,CBlock,Attchd,6,1950,0.0,2158,7,1,576,3360,3.0,243000
Gd,Gd,No,TA,Unf,ClearCr,2Story,PConc,Attchd,6,1988,268.0,2060,8,1,521,3211,3.0,211000
Gd,TA,No,Gd,Unf,Sawyer,1.5Fin,CBlock,Attchd,5,1958,0.0,1920,8,1,451,2972,3.0,172500
Ex,Ex,No,Ex,Fin,StoneBr,1Story,PConc,Attchd,9,2008,748.0,2234,9,1,1166,4450,3.0,501837
Gd,TA,No,TA,Unf,OldTown,1Story,CBlock,Detchd,5,1923,0.0,968,5,0,480,1936,1.0,100000
Gd,Gd,No,Gd,Unf,Somerst,2Story,PConc,Detchd,6,2000,456.0,1525,5,1,440,2281,2.5,177000
TA,Fa,No,TA,Unf,Crawfor,2Story,BrkTil,Detchd,7,1920,0.0,1802,9,1,216,2595,1.5,200100
TA,NoBas,NoBas,TA,RFn,Edwards,1Story,PConc,Attchd,5,1957,98.0,1340,7,1,252,1340,1.0,120000
TA,Gd,No,Gd,Unf,OldTown,1.5Fin,PConc,Detchd,7,2003,0.0,2082,6,0,484,3444,2.5,200000
TA,Fa,No,TA,Unf,BrkSide,1.5Fin,PConc,Attchd,5,1908,0.0,1252,5,0,576,1756,1.0,127000
Gd,TA,Mn,Ex,Unf,OldTown,2.5Fin,BrkTil,Detchd,10,1892,0.0,3608,12,2,840,4143,2.5,475000
TA,Gd,Av,Gd,Unf,Mitchel,SLvl,PConc,Attchd,7,1990,0.0,1217,6,0,497,2405,3.0,173000
TA,Fa,No,TA,Unf,OldTown,1.5Fin,CBlock,Detchd,5,1916,0.0,1656,8,0,180,2172,2.5,135000
TA,Gd,Av,TA,Unf,SawyerW,SFoyer,CBlock,Detchd,5,1979,275.0,1224,6,2,528,2310,3.0,153337
Gd,Ex,Av,Ex,Fin,StoneBr,1Story,PConc,Attchd,8,2001,0.0,1593,5,1,682,3186,2.5,286000
Gd,Gd,No,Gd,Unf,Crawfor,2Story,CBlock,Detchd,8,1932,0.0,2727,10,2,440,3580,2.5,315000
TA,TA,No,Gd,Fin,NAmes,2Story,CBlock,Attchd,7,1972,138.0,1479,7,0,484,2204,2.5,184000
Gd,Gd,Av,Gd,Fin,CollgCr,1Story,PConc,Attchd,7,1999,0.0,1431,6,0,666,2862,3.0,192000
Gd,Gd,No,Gd,Unf,Edwards,2Story,PConc,Detchd,7,2004,50.0,1709,7,0,380,2679,2.0,130000
TA,TA,Av,TA,Unf,CollgCr,1Story,CBlock,Detchd,5,1972,0.0,864,5,0,352,1728,1.0,127000
TA,Gd,No,TA,Unf,NPkVill,2Story,CBlock,Attchd,6,1976,0.0,1456,7,1,440,2311,2.5,148500
Ex,Ex,No,Ex,Fin,Somerst,1Story,PConc,Attchd,7,2007,205.0,1726,8,1,786,3452,3.0,311872
Gd,TA,No,Gd,Unf,NAmes,2Story,PConc,Detchd,8,1918,0.0,3112,8,1,795,4080,3.5,235000
TA,TA,No,TA,NoGar,OldTown,2.5Fin,CBlock,NoGar,6,1912,0.0,2229,8,0,0,2613,1.0,104000
Gd,Ex,Av,Ex,Fin,NridgHt,1Story,PConc,Attchd,8,2004,262.0,1713,7,1,856,3426,3.0,274900
TA,Gd,No,TA,RFn,Edwards,1Story,PConc,Attchd,4,2003,0.0,1121,5,0,440,2242,2.0,140000
TA,TA,No,TA,Unf,Mitchel,1Story,CBlock,Detchd,6,1977,0.0,1279,6,2,473,2475,2.5,171500
TA,Fa,No,TA,Unf,OldTown,1.5Fin,BrkTil,Attchd,6,1924,0.0,1310,6,0,398,1927,2.0,112000
Gd,Gd,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,6,2004,205.0,848,3,1,420,1696,2.0,149000
TA,TA,No,TA,Unf,OldTown,1.5Fin,CBlock,Detchd,5,1947,0.0,1284,5,0,240,2004,1.5,110000
TA,Gd,No,TA,RFn,Gilbert,1Story,PConc,Attchd,7,1990,0.0,1442,5,0,500,2866,2.0,180500
TA,TA,No,TA,RFn,Sawyer,1Story,CBlock,Attchd,5,1962,0.0,1696,8,1,349,2836,1.5,143900
TA,TA,No,TA,RFn,NAmes,1Story,PConc,Attchd,4,1960,0.0,1100,6,1,312,2200,2.0,141000
Gd,Gd,Gd,TA,Fin,SawyerW,2Story,CBlock,Attchd,7,1988,128.0,2062,7,1,454,3219,3.5,277000
TA,Gd,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1964,260.0,1092,6,0,504,2184,2.0,145000
TA,TA,No,TA,NoGar,Edwards,1Story,CBlock,NoGar,5,1925,0.0,864,5,0,0,1728,2.0,98000
TA,Gd,Mn,Gd,RFn,Edwards,1Story,PConc,Attchd,6,2009,0.0,1212,6,0,460,2424,2.0,186000
