ExterQual,BsmtQual,BsmtExposure,KitchenQual,GarageFinish,OverallQual,YearBuilt,MasVnrArea,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageArea,TotalSF,TotalBath,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NoGar,OverallCond,GarageQual,CommerZone,SalePrice
3,3,3,3,3,5,55,0.0,6.947937068614969,5,0,5.953243334287785,7.640603826393634,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.771443882099636
7,6,3,6,5,9,15,5.659482215759621,7.751475318021456,11,2,6.602587892189336,8.160518247477505,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,12.75130259456002
3,3,3,3,3,5,58,0.0,6.816735880594968,4,0,5.8664680569332965,7.509335266016592,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.87757552297847
5,4,4,4,4,7,14,5.726847747587197,7.3098814858247865,7,1,6.734591659972948,8.002694162283937,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.540761149388421
3,3,3,3,4,6,60,5.3612921657094255,7.134093721192866,5,1,5.8664680569332965,7.826842098158293,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.964007453736913
3,3,3,3,3,7,91,0.0,6.75110146893676,5,0,6.3578422665081,7.430707082545968,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,11.790564777297387
3,3,3,3,5,6,50,5.198497031265826,6.912742820493176,5,1,6.175867270105761,7.605392364814935,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,11.91170829631447
3,2,2,3,3,4,53,0.0,7.167809184316444,6,0,6.248042874508429,7.167809184316444,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,11.407576060361786
3,3,3,4,3,5,16,0.0,7.016609683894219,6,0,6.3578422665081,7.709308333385869,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,11.976665770490769
3,3,3,3,3,5,62,0.0,7.200424892944957,6,0,5.68697535633982,7.7702232041587855,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.842236406331557
5,6,4,4,4,8,15,5.942799375126701,7.773594467360194,9,1,6.74993119378857,8.170468578330674,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,12.692506186542175
3,3,3,4,3,7,90,0.0,7.011213987350367,6,1,5.638354669333745,7.465082736399547,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,11.84510995088398
5,4,3,4,4,8,18,5.641907070938114,7.493317248862145,7,1,6.282266746896006,8.181160858023409,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.345838935721968
3,4,3,3,3,5,44,0.0,6.966967138613983,6,1,6.35088571671474,7.650168700845001,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,11.774527900858466
3,3,4,4,3,5,52,0.0,6.966967138613983,6,1,5.602118820879701,7.659642954564682,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,11.944714374881176
5,4,3,4,4,8,13,6.46302945692067,7.3783837129967145,7,1,6.792344427470809,8.06054004653864,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.454107814022274
3,3,4,4,3,5,69,0.0,6.803505257608338,5,0,6.3578422665081,7.496097345175956,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,11.811554895830454
5,6,3,4,4,8,13,5.303304908059076,7.4413203897176174,7,1,6.650279048587422,8.134174272137903,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.631343648903036
3,3,5,3,4,5,63,0.0,7.3783837129967145,6,2,5.768320995793772,8.034306936339489,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.242891437918384
3,3,3,2,3,4,93,0.0,6.255750041753367,4,0,5.484796933490655,6.947937068614969,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.134603622683905
3,3,3,3,3,4,100,0.0,7.183870715062453,6,0,5.5254529391317835,7.584264818389059,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,10.59665973278358
3,3,3,4,3,5,54,0.0,7.113956109566034,6,0,5.605802066295998,7.806696372521179,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.914054519303123
5,6,4,4,4,8,13,0.0,7.118826249062078,7,0,6.184148890937483,7.81156848934518,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.100161978566868
3,3,3,4,4,5,61,0.0,7.438971592395862,6,1,6.104793232414985,8.038834757787749,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.016732516077072
7,6,3,6,5,9,15,5.5093883366279774,7.3537223303996315,6,1,6.322565239927284,8.046549357283078,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.533579815765734
5,6,4,4,5,8,16,4.890349128221754,7.8050670442584895,9,1,6.539585955617669,8.180320874773685,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,12.641099792120599
3,4,3,3,3,5,26,0.0,7.001245622069476,6,0,6.511745329644728,7.693937325509272,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,11.884495917930655
3,3,3,3,5,5,66,6.478509642208569,7.168579897264035,5,1,6.212606095751519,7.861341795599989,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.938199736300927
3,3,3,4,3,5,67,0.0,6.964135612418245,5,0,5.5093883366279774,7.656810091480378,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,11.599112335481124
3,2,2,2,2,4,65,0.0,7.050122520269059,6,0,0.0,7.050122520269059,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,11.314486721293981
3,3,3,3,4,6,55,4.624972813284271,7.1891677384203225,6,1,6.089044875446846,7.7886260656250315,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.98293534419643
3,3,5,3,4,5,61,0.0,7.192182058713246,5,2,5.733341276897746,7.893198869544609,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.04355959836804
3,4,4,4,4,5,37,0.0,6.785587645007929,5,0,6.22455842927536,7.45298232946546,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,11.87757552297847
3,4,4,3,3,5,45,0.0,6.844815479208263,5,0,5.733341276897746,7.537430036586509,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.777218637129328
3,3,3,3,4,5,61,0.0,7.048386408721883,6,0,5.707110264748875,7.741099090035366,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.856522261533735
7,6,3,6,4,9,15,6.023447592961033,7.469083884921234,6,1,6.3578422665081,8.16194579946869,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.675766851909593
5,6,3,4,4,7,17,0.0,7.673223121121708,6,1,6.508769136971682,8.18423477409482,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.387089184491993
5,4,4,4,4,8,14,0.0,7.4127640174265625,7,0,6.717804695023691,8.105609402299896,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.428019481065615
3,3,3,3,2,4,100,0.0,7.2813856635702825,8,0,0.0,7.691200097522863,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11.635151947212842
3,3,3,3,3,5,54,0.0,6.862757913051401,6,0,5.958424693029782,7.555381944240273,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,11.751950239425476
3,4,4,3,5,6,23,0.0,7.293697720601438,6,0,5.963579343618446,7.725330037917135,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.08391066125752
3,3,3,3,3,6,86,0.0,7.0707241072602764,6,1,6.270988431858299,7.398174092970465,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,11.648338835562749
2,4,5,3,3,5,57,0.0,6.705639094860003,5,0,6.248042874508429,7.398174092970465,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,11.608244735642321
5,6,5,4,5,9,39,0.0,7.519149957669823,5,1,6.796823718274855,8.212025804623437,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.861001210669146
3,3,3,3,3,5,65,0.0,7.215975002651466,6,1,6.35088571671474,7.4645098346365275,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.775297421715827
3,3,3,3,4,6,56,5.60947179518496,7.262628600974241,7,1,6.3578422665081,7.955425088912672,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.103491596905933
5,4,3,4,5,8,21,6.124683390894205,7.461640392208575,7,0,6.175867270105761,7.904703913873747,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.058158312538195
5,4,3,4,4,7,16,0.0,7.450660796211539,7,0,6.338594078203183,7.855932199718614,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.188422799337028
7,6,5,4,5,10,14,6.939253946041508,7.988203597022576,10,1,6.464588303689961,8.37930948405285,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,12.991755706536901
3,3,4,3,3,5,48,0.0,6.660575149839686,4,0,5.8664680569332965,7.353081920515432,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,11.73527670248674
3,4,3,4,3,6,16,0.0,7.055312843339752,5,0,6.3578422665081,7.748028524432376,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,11.970356641103
3,3,3,2,3,5,100,0.0,7.013915474810528,6,0,5.666426688112432,7.403670290012373,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,11.522885696764481
5,4,4,4,4,8,14,5.187385805840755,7.223295679562314,6,1,6.184148890937483,7.916078096302786,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.218500103788145
3,3,3,3,3,7,99,0.0,7.444833273892193,9,0,6.175867270105761,7.734996194022781,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.849404844423075
3,4,3,4,4,7,23,6.352629396319567,7.618251097876695,8,0,6.470799503782602,8.036573409707312,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.299112067295642
5,6,4,4,4,8,16,5.84354441703136,7.813591552952433,9,1,6.748759547491679,8.193400231952097,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,12.666660207428574
3,4,5,3,4,7,50,5.662960480135946,7.699842407396986,7,1,6.3578422665081,8.332067707289548,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.100717685412473
5,4,4,4,4,7,17,5.123963979403259,7.299797366758161,7,0,6.326149473155099,7.983781068977451,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.328294703023396
3,3,3,3,3,4,75,0.0,6.617402977974478,4,0,5.3981627015177525,7.3098814858247865,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,11.289794413577896
5,3,3,3,5,7,67,0.0,7.7354333524996886,7,1,6.504288173536645,8.18646442942209,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.323860125621126
3,4,5,3,5,7,47,7.017506142941256,7.707062655370473,8,2,6.248042874508429,8.399984990510696,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,12.404927602627597
3,3,3,3,3,4,38,0.0,6.740519359606223,4,0,5.8888779583328805,7.43307534889858,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.771443882099636
3,4,3,3,5,7,22,3.713572066704308,7.449498005382849,7,1,6.059123195581797,7.844240718141811,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,12.128116509451258
3,3,3,3,3,5,66,4.653960350157523,6.99117688712121,6,0,6.19644412779452,7.6838639802564295,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,11.883806029596212
5,2,3,3,3,3,105,0.0,7.381501894506707,8,0,5.940171252720432,7.802209316247118,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.584324772000521
3,4,5,3,3,4,47,0.0,6.8966943316227125,5,0,5.697093486505405,7.280008252884188,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,11.418625774449598
3,3,3,3,3,4,64,0.0,6.859614903654202,4,0,5.648974238161206,7.552237287560802,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,11.818577604251553
3,3,3,3,3,5,72,0.0,7.1592919047975645,6,0,5.484796933490655,7.579678823090456,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,11.751950239425476
3,3,3,3,2,4,52,0.0,7.478169694159785,8,0,0.0,8.17103418920548,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11.824087219587646
3,3,3,3,3,5,110,0.0,7.115582126184454,5,0,6.089044875446846,7.421177528595393,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,11.608244735642321
